algorithm,word,n_guesses
Eliminator,BARER,4
Eliminator,BARES,4
Eliminator,BARFS,4
Eliminator,BARGE,3
Eliminator,BARKS,4
Eliminator,BARNS,3
Eliminator,BARON,4
Eliminator,BARRY,4
Eliminator,BARTH,4
Eliminator,BASAL,4
Eliminator,BASED,3
Eliminator,BASEL,3
Eliminator,BASER,3
Eliminator,BASES,6
Eliminator,BASHO,3
Eliminator,BASIC,3
Eliminator,BASIE,3
Eliminator,BASIL,4
Eliminator,BASIN,3
Eliminator,BASIS,3
Eliminator,BASKS,4
Eliminator,BASRA,3
Eliminator,BASSI,4
Eliminator,BASSO,4
Eliminator,BASTE,4
Eliminator,BATCH,4
Eliminator,BATED,4
Eliminator,BATES,3
Eliminator,BATHE,3
Eliminator,BATHS,3
Eliminator,BATIK,3
Eliminator,BATON,4
Eliminator,BATTY,4
Eliminator,BAUDS,3
Eliminator,BAUER,4
Eliminator,BAWDY,4
Eliminator,ASKED,3
Eliminator,ASKEW,3
Eliminator,ASOKA,4
Eliminator,ASPEN,3
Eliminator,ASPIC,3
Eliminator,ASSAD,4
Eliminator,ASSAM,4
Eliminator,ASSAY,4
Eliminator,ASSES,4
Eliminator,ASSET,2
Eliminator,ASTER,2
Eliminator,ASTIR,2
Eliminator,ASTON,2
Eliminator,ASTOR,3
Eliminator,ASWAN,3
Eliminator,ATARI,4
Eliminator,ATLAS,3
Eliminator,ATMAN,4
Eliminator,CANTS,3
Eliminator,CANTU,3
Eliminator,CAPED,4
Eliminator,CAPEK,4
Eliminator,CAPER,4
Eliminator,CAPES,4
Eliminator,CAPET,3
Eliminator,CAPON,4
Eliminator,CAPRA,3
Eliminator,CAPRI,4
Eliminator,CARAT,3
Eliminator,CARBS,3
Eliminator,CARDS,4
Eliminator,CARED,4
Eliminator,CARES,3
Eliminator,CARET,3
Eliminator,CAREY,4
Eliminator,CARGO,3
Eliminator,CARIB,3
Eliminator,CARLA,3
Eliminator,CARLO,4
Eliminator,CARLY,3
Eliminator,CAROL,3
Eliminator,CAROM,4
Eliminator,CARPI,3
Eliminator,CARPS,4
Eliminator,CARRY,3
Eliminator,CARTS,3
Eliminator,CARVE,4
Eliminator,CASED,4
Eliminator,CASES,5
Eliminator,CASEY,3
Eliminator,CASIO,3
Eliminator,CASKS,4
Eliminator,CASTE,3
Eliminator,CASTS,3
Eliminator,ARBOR,3
Eliminator,ARCED,3
Eliminator,ARDEN,3
Eliminator,ARDOR,4
Eliminator,AREAS,3
Eliminator,ARENA,4
Eliminator,ARGON,3
Eliminator,ARGOS,4
Eliminator,ARGOT,3
Eliminator,ARGUE,3
Eliminator,ARGUS,3
Eliminator,ARIAS,4
Eliminator,ARIEL,3
Eliminator,ARIES,3
Eliminator,ARISE,3
Eliminator,ARIUS,4
Eliminator,ARMED,4
Eliminator,ARMOR,4
Eliminator,BENTS,4
Eliminator,BERET,3
Eliminator,BERGS,4
Eliminator,BERIA,3
Eliminator,BERLE,4
Eliminator,BERMS,4
Eliminator,BERNE,3
Eliminator,BERRA,4
Eliminator,BERRY,4
Eliminator,BERTA,4
Eliminator,BERTH,4
Eliminator,BERYL,3
Eliminator,BESET,3
Eliminator,BESOM,4
Eliminator,BESOT,4
Eliminator,BESTS,5
Eliminator,BETAS,2
Eliminator,BETHE,3
Eliminator,ATOLL,4
Eliminator,ATOMS,3
Eliminator,ATONE,3
Eliminator,ATRIA,4
Eliminator,ATTAR,3
Eliminator,ATTIC,3
Eliminator,AUDEN,4
Eliminator,AUDIO,3
Eliminator,AUDIT,4
Eliminator,AUDRA,4
Eliminator,AUGER,4
Eliminator,AUGHT,4
Eliminator,AUGUR,4
Eliminator,AUNTS,3
Eliminator,AURAE,4
Eliminator,AURAL,4
Eliminator,AURAS,4
Eliminator,AUTOS,3
Eliminator,ARNEB,4
Eliminator,AROMA,4
Eliminator,AROSE,4
Eliminator,ARRAY,4
Eliminator,ARRON,4
Eliminator,ARROW,4
Eliminator,ARSON,3
Eliminator,ARTIE,3
Eliminator,ARTSY,3
Eliminator,ARUBA,4
Eliminator,ARYAN,4
Eliminator,ASAMA,4
Eliminator,ASCOT,3
Eliminator,ASHED,3
Eliminator,ASHEN,3
Eliminator,ASHES,3
Eliminator,ASIAN,3
Eliminator,ASIDE,4
Eliminator,BAWLS,4
Eliminator,BAYED,3
Eliminator,BAYER,3
Eliminator,BAYES,4
Eliminator,BAYOU,4
Eliminator,BEACH,3
Eliminator,BEADS,3
Eliminator,BEADY,3
Eliminator,BEAKS,4
Eliminator,BEAMS,4
Eliminator,BEANS,3
Eliminator,BEARD,3
Eliminator,BEARS,5
Eliminator,BEAST,4
Eliminator,BEATS,4
Eliminator,BEAUS,4
Eliminator,BEAUX,4
Eliminator,BEBOP,4
Eliminator,BRAGG,4
Eliminator,BRAGS,3
Eliminator,BRAHE,4
Eliminator,BRAID,3
Eliminator,BRAIN,2
Eliminator,BRAKE,4
Eliminator,BRAND,3
Eliminator,BRANT,4
Eliminator,BRASH,3
Eliminator,BRASS,4
Eliminator,BRATS,3
Eliminator,BRAVE,4
Eliminator,BRAVO,4
Eliminator,BRAWL,4
Eliminator,BRAWN,3
Eliminator,BRAYS,3
Eliminator,BREAD,3
Eliminator,BREAK,4
Eliminator,BADEN,4
Eliminator,BADGE,3
Eliminator,BADLY,3
Eliminator,BAGEL,3
Eliminator,BAGGY,4
Eliminator,BAHIA,4
Eliminator,BAIDU,3
Eliminator,BAILS,3
Eliminator,BAIRD,3
Eliminator,BAITS,4
Eliminator,BAIZE,3
Eliminator,BAKED,5
Eliminator,BAKER,4
Eliminator,BAKES,5
Eliminator,BALDS,4
Eliminator,BALED,4
Eliminator,BALES,5
Eliminator,BALKS,3
Eliminator,CADDY,4
Eliminator,CADET,3
Eliminator,CADGE,4
Eliminator,CADIZ,4
Eliminator,CADRE,3
Eliminator,CAGED,5
Eliminator,CAGES,4
Eliminator,CAGEY,3
Eliminator,CAINS,4
Eliminator,CAIRN,3
Eliminator,CAIRO,4
Eliminator,CAJUN,4
Eliminator,CAKED,4
Eliminator,CAKES,4
Eliminator,CALEB,3
Eliminator,CALFS,5
Eliminator,CALIF,4
Eliminator,CALKS,3
Eliminator,AGREE,3
Eliminator,AHEAD,3
Eliminator,AHMAD,4
Eliminator,AHMED,4
Eliminator,AIDED,3
Eliminator,AIDES,3
Eliminator,AIKEN,3
Eliminator,AILED,3
Eliminator,AIMED,4
Eliminator,AIMEE,3
Eliminator,AIRED,4
Eliminator,AIRES,3
Eliminator,AISHA,4
Eliminator,AISLE,4
Eliminator,AKBAR,4
Eliminator,AKITA,3
Eliminator,AKIVA,4
Eliminator,AKKAD,4
Eliminator,CREPE,4
Eliminator,CREPT,3
Eliminator,CRESS,4
Eliminator,CREST,3
Eliminator,CRETE,4
Eliminator,CREWS,4
Eliminator,CRIBS,3
Eliminator,CRICK,3
Eliminator,CRIED,4
Eliminator,CRIER,4
Eliminator,CRIES,4
Eliminator,CRIME,4
Eliminator,CRIMP,4
Eliminator,CRISP,3
Eliminator,CROAK,4
Eliminator,CROAT,3
Eliminator,CROCE,4
Eliminator,CROCI,4
Eliminator,CRAPS,4
Eliminator,CRASH,3
Eliminator,CRASS,5
Eliminator,CRATE,3
Eliminator,CRAVE,4
Eliminator,CRAWL,4
Eliminator,CRAWS,5
Eliminator,CRAZE,4
Eliminator,CRAZY,4
Eliminator,CREAK,3
Eliminator,CREAM,4
Eliminator,CRECY,3
Eliminator,CREDO,4
Eliminator,CREED,4
Eliminator,CREEK,4
Eliminator,CREEL,4
Eliminator,CREEP,5
Eliminator,CREON,3
Eliminator,BALKY,4
Eliminator,BALLS,4
Eliminator,BALMS,4
Eliminator,BALMY,4
Eliminator,BALSA,3
Eliminator,BAMBI,3
Eliminator,BANAL,4
Eliminator,BANDS,3
Eliminator,BANDY,4
Eliminator,BANES,5
Eliminator,BANGS,4
Eliminator,BANJO,4
