algorithm,word,n_guesses
EliminatorAmongstPossible,AUDEN,3
EliminatorAmongstPossible,AUDIO,4
EliminatorAmongstPossible,AUDIT,4
EliminatorAmongstPossible,AUDRA,5
EliminatorAmongstPossible,AUGER,5
EliminatorAmongstPossible,AUGHT,4
EliminatorAmongstPossible,AUGUR,5
EliminatorAmongstPossible,AUNTS,4
EliminatorAmongstPossible,AURAE,5
EliminatorAmongstPossible,AURAL,4
EliminatorAmongstPossible,AURAS,4
EliminatorAmongstPossible,AUTOS,3
EliminatorAmongstPossible,AVAIL,4
EliminatorAmongstPossible,AVAST,4
EliminatorAmongstPossible,AVERS,3
EliminatorAmongstPossible,AVERT,4
EliminatorAmongstPossible,AVERY,4
EliminatorAmongstPossible,AVIAN,3
EliminatorAmongstPossible,AVILA,4
EliminatorAmongstPossible,AVIOR,4
EliminatorAmongstPossible,AVOID,4
EliminatorAmongstPossible,AVOWS,5
EliminatorAmongstPossible,AWAIT,3
EliminatorAmongstPossible,AWAKE,5
EliminatorAmongstPossible,AWARD,4
EliminatorAmongstPossible,AWARE,4
EliminatorAmongstPossible,AWASH,4
EliminatorAmongstPossible,AWFUL,4
EliminatorAmongstPossible,AWING,6
EliminatorAmongstPossible,AWOKE,5
EliminatorAmongstPossible,AXIAL,3
EliminatorAmongstPossible,AXING,7
EliminatorAmongstPossible,AXIOM,4
EliminatorAmongstPossible,AXLES,5
EliminatorAmongstPossible,AXONS,5
EliminatorAmongstPossible,AYALA,5
EliminatorAmongstPossible,AYERS,2
EliminatorAmongstPossible,AZANA,4
EliminatorAmongstPossible,AZTEC,3
EliminatorAmongstPossible,AZURE,5
EliminatorAmongstPossible,BAAED,6
EliminatorAmongstPossible,BAATH,3
EliminatorAmongstPossible,BABAR,4
EliminatorAmongstPossible,BABEL,4
EliminatorAmongstPossible,BABES,8
EliminatorAmongstPossible,BABUR,5
EliminatorAmongstPossible,BACKS,5
EliminatorAmongstPossible,BACON,4
EliminatorAmongstPossible,BADEN,3
EliminatorAmongstPossible,BADGE,3
EliminatorAmongstPossible,BADLY,4
EliminatorAmongstPossible,BAGEL,4
EliminatorAmongstPossible,BAGGY,4
EliminatorAmongstPossible,BAHIA,4
EliminatorAmongstPossible,BAIDU,4
EliminatorAmongstPossible,BAILS,3
EliminatorAmongstPossible,BAIRD,3
EliminatorAmongstPossible,BAITS,4
EliminatorAmongstPossible,BAIZE,4
EliminatorAmongstPossible,BAKED,5
EliminatorAmongstPossible,BAKER,3
EliminatorAmongstPossible,BAKES,7
EliminatorAmongstPossible,BALDS,5
EliminatorAmongstPossible,BALED,3
EliminatorAmongstPossible,BALES,3
EliminatorAmongstPossible,BALKS,4
EliminatorAmongstPossible,BALKY,3
EliminatorAmongstPossible,BALLS,4
EliminatorAmongstPossible,BALMS,4
EliminatorAmongstPossible,BALMY,3
EliminatorAmongstPossible,BALSA,3
EliminatorAmongstPossible,BAMBI,4
EliminatorAmongstPossible,BANAL,3
EliminatorAmongstPossible,BANDS,3
EliminatorAmongstPossible,BANDY,4
EliminatorAmongstPossible,BANES,4
EliminatorAmongstPossible,BANGS,4
EliminatorAmongstPossible,BANJO,4
EliminatorAmongstPossible,BANKS,5
EliminatorAmongstPossible,BANNS,6
EliminatorAmongstPossible,BANTU,4
EliminatorAmongstPossible,BARBS,3
EliminatorAmongstPossible,BARDS,4
EliminatorAmongstPossible,BARED,4
EliminatorAmongstPossible,BARER,4
EliminatorAmongstPossible,BARES,2
EliminatorAmongstPossible,BARFS,5
EliminatorAmongstPossible,BARGE,3
EliminatorAmongstPossible,BARKS,6
EliminatorAmongstPossible,BARNS,2
EliminatorAmongstPossible,BARON,4
EliminatorAmongstPossible,BARRY,5
EliminatorAmongstPossible,BARTH,3
EliminatorAmongstPossible,BASAL,3
EliminatorAmongstPossible,BASED,2
EliminatorAmongstPossible,BASEL,3
EliminatorAmongstPossible,BASER,2
EliminatorAmongstPossible,BASES,3
EliminatorAmongstPossible,BASHO,4
EliminatorAmongstPossible,BASIC,4
EliminatorAmongstPossible,BASIE,3
EliminatorAmongstPossible,BASIL,3
EliminatorAmongstPossible,BASIN,4
EliminatorAmongstPossible,BASIS,4
EliminatorAmongstPossible,BASKS,4
EliminatorAmongstPossible,BASRA,3
EliminatorAmongstPossible,BASSI,3
EliminatorAmongstPossible,BASSO,4
EliminatorAmongstPossible,BASTE,2
