algorithm,word,n_guesses
PositionalExplorerAmongstPossible,BAMBI,4
PositionalExplorerAmongstPossible,BANAL,4
PositionalExplorerAmongstPossible,BANDS,3
PositionalExplorerAmongstPossible,BANDY,4
PositionalExplorerAmongstPossible,BANES,4
PositionalExplorerAmongstPossible,BANGS,4
PositionalExplorerAmongstPossible,BANJO,3
PositionalExplorerAmongstPossible,BANKS,5
PositionalExplorerAmongstPossible,BANNS,6
PositionalExplorerAmongstPossible,BANTU,4
PositionalExplorerAmongstPossible,BARBS,7
PositionalExplorerAmongstPossible,BARDS,4
PositionalExplorerAmongstPossible,BARED,2
PositionalExplorerAmongstPossible,BARER,3
PositionalExplorerAmongstPossible,BARES,2
PositionalExplorerAmongstPossible,BARFS,5
PositionalExplorerAmongstPossible,BARGE,3
PositionalExplorerAmongstPossible,BARKS,3
PositionalExplorerAmongstPossible,BARNS,6
PositionalExplorerAmongstPossible,BARON,4
PositionalExplorerAmongstPossible,BARRY,4
PositionalExplorerAmongstPossible,BARTH,3
PositionalExplorerAmongstPossible,BASAL,4
PositionalExplorerAmongstPossible,BASED,2
PositionalExplorerAmongstPossible,BASEL,3
PositionalExplorerAmongstPossible,BASER,3
PositionalExplorerAmongstPossible,BASES,8
PositionalExplorerAmongstPossible,BASHO,3
PositionalExplorerAmongstPossible,BASIC,3
PositionalExplorerAmongstPossible,BASIE,3
PositionalExplorerAmongstPossible,BASIL,3
PositionalExplorerAmongstPossible,BASIN,4
PositionalExplorerAmongstPossible,BASIS,3
PositionalExplorerAmongstPossible,BASKS,5
PositionalExplorerAmongstPossible,BASRA,3
PositionalExplorerAmongstPossible,BASSI,5
PositionalExplorerAmongstPossible,BASSO,4
PositionalExplorerAmongstPossible,BASTE,2
PositionalExplorerAmongstPossible,BATCH,3
PositionalExplorerAmongstPossible,BATED,3
PositionalExplorerAmongstPossible,BATES,5
PositionalExplorerAmongstPossible,BATHE,4
PositionalExplorerAmongstPossible,BATHS,4
PositionalExplorerAmongstPossible,BATIK,4
PositionalExplorerAmongstPossible,BATON,4
PositionalExplorerAmongstPossible,BATTY,5
PositionalExplorerAmongstPossible,BAUDS,4
PositionalExplorerAmongstPossible,BAUER,4
PositionalExplorerAmongstPossible,BAWDY,4
PositionalExplorerAmongstPossible,BAWLS,3
PositionalExplorerAmongstPossible,BAYED,7
PositionalExplorerAmongstPossible,BAYER,5
PositionalExplorerAmongstPossible,BAYES,6
PositionalExplorerAmongstPossible,BAYOU,4
PositionalExplorerAmongstPossible,BEACH,3
PositionalExplorerAmongstPossible,BEADS,3
PositionalExplorerAmongstPossible,BEADY,4
PositionalExplorerAmongstPossible,BEAKS,4
PositionalExplorerAmongstPossible,BEAMS,5
PositionalExplorerAmongstPossible,BEANS,6
PositionalExplorerAmongstPossible,BEARD,4
PositionalExplorerAmongstPossible,BEARS,2
PositionalExplorerAmongstPossible,BEAST,3
PositionalExplorerAmongstPossible,BEATS,2
PositionalExplorerAmongstPossible,BEAUS,7
PositionalExplorerAmongstPossible,BEAUX,4
PositionalExplorerAmongstPossible,BEBOP,4
PositionalExplorerAmongstPossible,BECKS,3
PositionalExplorerAmongstPossible,BECKY,3
PositionalExplorerAmongstPossible,BEEBE,4
PositionalExplorerAmongstPossible,BEECH,4
PositionalExplorerAmongstPossible,BEEFS,5
PositionalExplorerAmongstPossible,BEEFY,3
PositionalExplorerAmongstPossible,ATTAR,4
PositionalExplorerAmongstPossible,ATTIC,4
PositionalExplorerAmongstPossible,AUDEN,3
PositionalExplorerAmongstPossible,AUDIO,4
PositionalExplorerAmongstPossible,AUDIT,3
PositionalExplorerAmongstPossible,AUDRA,5
PositionalExplorerAmongstPossible,AUGER,6
PositionalExplorerAmongstPossible,AUGHT,3
PositionalExplorerAmongstPossible,AUGUR,4
PositionalExplorerAmongstPossible,AUNTS,4
PositionalExplorerAmongstPossible,AURAE,3
PositionalExplorerAmongstPossible,AURAL,3
PositionalExplorerAmongstPossible,AURAS,4
PositionalExplorerAmongstPossible,AUTOS,4
PositionalExplorerAmongstPossible,AVAIL,5
PositionalExplorerAmongstPossible,AVAST,4
PositionalExplorerAmongstPossible,AVERS,3
PositionalExplorerAmongstPossible,AVERT,4
PositionalExplorerAmongstPossible,AVERY,4
PositionalExplorerAmongstPossible,AVIAN,5
PositionalExplorerAmongstPossible,AVILA,5
PositionalExplorerAmongstPossible,AVIOR,4
PositionalExplorerAmongstPossible,AVOID,4
PositionalExplorerAmongstPossible,AVOWS,4
PositionalExplorerAmongstPossible,AWAIT,4
PositionalExplorerAmongstPossible,AWAKE,6
PositionalExplorerAmongstPossible,AWARD,5
PositionalExplorerAmongstPossible,AWARE,4
PositionalExplorerAmongstPossible,AWASH,3
PositionalExplorerAmongstPossible,AWFUL,5
PositionalExplorerAmongstPossible,AWING,3
PositionalExplorerAmongstPossible,AWOKE,4
PositionalExplorerAmongstPossible,AXIAL,5
PositionalExplorerAmongstPossible,AXING,5
PositionalExplorerAmongstPossible,AXIOM,4
PositionalExplorerAmongstPossible,AXLES,4
PositionalExplorerAmongstPossible,AXONS,3
PositionalExplorerAmongstPossible,AYALA,5
PositionalExplorerAmongstPossible,AYERS,4
PositionalExplorerAmongstPossible,AZANA,5
PositionalExplorerAmongstPossible,AZTEC,3
PositionalExplorerAmongstPossible,AZURE,5
PositionalExplorerAmongstPossible,BAAED,8
PositionalExplorerAmongstPossible,BAATH,4
PositionalExplorerAmongstPossible,BABAR,6
PositionalExplorerAmongstPossible,BABEL,5
PositionalExplorerAmongstPossible,BABES,7
PositionalExplorerAmongstPossible,BABUR,5
PositionalExplorerAmongstPossible,BACKS,3
PositionalExplorerAmongstPossible,BACON,3
PositionalExplorerAmongstPossible,BADEN,3
PositionalExplorerAmongstPossible,BADGE,4
PositionalExplorerAmongstPossible,BADLY,4
PositionalExplorerAmongstPossible,BAGEL,4
PositionalExplorerAmongstPossible,BAGGY,4
PositionalExplorerAmongstPossible,BAHIA,4
PositionalExplorerAmongstPossible,BAIDU,4
PositionalExplorerAmongstPossible,BAILS,2
PositionalExplorerAmongstPossible,BAIRD,4
PositionalExplorerAmongstPossible,BAITS,3
PositionalExplorerAmongstPossible,BAIZE,4
PositionalExplorerAmongstPossible,BAKED,4
PositionalExplorerAmongstPossible,BAKER,3
PositionalExplorerAmongstPossible,BAKES,3
PositionalExplorerAmongstPossible,BALDS,3
PositionalExplorerAmongstPossible,BALED,6
PositionalExplorerAmongstPossible,BALES,2
PositionalExplorerAmongstPossible,BALKS,4
PositionalExplorerAmongstPossible,BALKY,3
PositionalExplorerAmongstPossible,BALLS,4
PositionalExplorerAmongstPossible,BALMS,5
PositionalExplorerAmongstPossible,BALMY,3
PositionalExplorerAmongstPossible,BALSA,4
PositionalExplorerAmongstPossible,APART,5
PositionalExplorerAmongstPossible,APHID,4
PositionalExplorerAmongstPossible,APING,4
PositionalExplorerAmongstPossible,APPAL,5
PositionalExplorerAmongstPossible,APPLE,4
PositionalExplorerAmongstPossible,APPLY,5
PositionalExplorerAmongstPossible,APRIL,4
PositionalExplorerAmongstPossible,APRON,4
PositionalExplorerAmongstPossible,APSES,4
PositionalExplorerAmongstPossible,APTER,4
PositionalExplorerAmongstPossible,APTLY,4
PositionalExplorerAmongstPossible,AQUAE,5
PositionalExplorerAmongstPossible,AQUAS,6
PositionalExplorerAmongstPossible,ARABS,5
PositionalExplorerAmongstPossible,ARABY,3
PositionalExplorerAmongstPossible,ARBOR,3
PositionalExplorerAmongstPossible,ARCED,2
PositionalExplorerAmongstPossible,ARDEN,3
PositionalExplorerAmongstPossible,ARDOR,4
