algorithm,word,n_guesses
PositionalExplorerMindingGuessCount,CHARS,3
PositionalExplorerMindingGuessCount,CHART,2
PositionalExplorerMindingGuessCount,CHARY,4
PositionalExplorerMindingGuessCount,CHASE,2
PositionalExplorerMindingGuessCount,CHASM,3
PositionalExplorerMindingGuessCount,CHATS,3
PositionalExplorerMindingGuessCount,CHEAP,3
PositionalExplorerMindingGuessCount,CHEAT,2
PositionalExplorerMindingGuessCount,CHECK,4
PositionalExplorerMindingGuessCount,CHEEK,3
PositionalExplorerMindingGuessCount,CHEEP,4
PositionalExplorerMindingGuessCount,CHEER,5
PositionalExplorerMindingGuessCount,CHEFS,2
PositionalExplorerMindingGuessCount,CHERI,3
PositionalExplorerMindingGuessCount,CHESS,4
PositionalExplorerMindingGuessCount,CHEST,3
PositionalExplorerMindingGuessCount,CHEVY,3
PositionalExplorerMindingGuessCount,CHEWS,3
PositionalExplorerMindingGuessCount,CHEWY,4
PositionalExplorerMindingGuessCount,CHIBA,3
PositionalExplorerMindingGuessCount,CHICK,3
PositionalExplorerMindingGuessCount,CHIDE,3
PositionalExplorerMindingGuessCount,CHIEF,3
PositionalExplorerMindingGuessCount,CHILD,3
PositionalExplorerMindingGuessCount,CHILE,2
PositionalExplorerMindingGuessCount,CHILI,4
PositionalExplorerMindingGuessCount,CHILL,5
PositionalExplorerMindingGuessCount,CHIME,4
PositionalExplorerMindingGuessCount,CHIMP,3
PositionalExplorerMindingGuessCount,CHIMU,4
PositionalExplorerMindingGuessCount,CHINA,3
PositionalExplorerMindingGuessCount,CHINK,3
PositionalExplorerMindingGuessCount,CHINO,3
PositionalExplorerMindingGuessCount,CHINS,4
PositionalExplorerMindingGuessCount,CHIPS,3
PositionalExplorerMindingGuessCount,CHIRP,3
PositionalExplorerMindingGuessCount,CHITS,3
PositionalExplorerMindingGuessCount,CHIVE,5
PositionalExplorerMindingGuessCount,CHLOE,3
PositionalExplorerMindingGuessCount,CHOCK,3
PositionalExplorerMindingGuessCount,CHOIR,3
PositionalExplorerMindingGuessCount,CHOKE,3
PositionalExplorerMindingGuessCount,CHOMP,4
PositionalExplorerMindingGuessCount,CHOPS,3
PositionalExplorerMindingGuessCount,CHORD,4
PositionalExplorerMindingGuessCount,CHORE,3
PositionalExplorerMindingGuessCount,CHOSE,2
PositionalExplorerMindingGuessCount,CHOWS,4
PositionalExplorerMindingGuessCount,CHRIS,4
PositionalExplorerMindingGuessCount,CHUCK,4
PositionalExplorerMindingGuessCount,CHUGS,4
PositionalExplorerMindingGuessCount,CHUMP,3
PositionalExplorerMindingGuessCount,CHUMS,5
PositionalExplorerMindingGuessCount,CHUNG,3
PositionalExplorerMindingGuessCount,CHUNK,3
PositionalExplorerMindingGuessCount,CHURL,4
PositionalExplorerMindingGuessCount,CHURN,3
PositionalExplorerMindingGuessCount,CHUTE,4
PositionalExplorerMindingGuessCount,CIDER,3
PositionalExplorerMindingGuessCount,CIGAR,3
PositionalExplorerMindingGuessCount,CILIA,3
PositionalExplorerMindingGuessCount,CINCH,4
PositionalExplorerMindingGuessCount,CINDY,3
PositionalExplorerMindingGuessCount,CIPRO,4
PositionalExplorerMindingGuessCount,CIRCA,3
PositionalExplorerMindingGuessCount,CIRCE,3
PositionalExplorerMindingGuessCount,CISCO,3
PositionalExplorerMindingGuessCount,CITED,3
PositionalExplorerMindingGuessCount,CITES,3
PositionalExplorerMindingGuessCount,CIVET,4
PositionalExplorerMindingGuessCount,CIVIC,5
PositionalExplorerMindingGuessCount,CIVIL,3
PositionalExplorerMindingGuessCount,CLACK,4
PositionalExplorerMindingGuessCount,CLAIM,3
PositionalExplorerMindingGuessCount,CLAIR,4
PositionalExplorerMindingGuessCount,CLAMP,3
PositionalExplorerMindingGuessCount,CLAMS,3
PositionalExplorerMindingGuessCount,CLANG,3
PositionalExplorerMindingGuessCount,CLANK,4
PositionalExplorerMindingGuessCount,CLANS,4
PositionalExplorerMindingGuessCount,CLAPS,2
PositionalExplorerMindingGuessCount,CLARA,4
PositionalExplorerMindingGuessCount,CLARE,3
