algorithm,word,n_guesses
UnknownLetterExplorerAmongstPossible,ALOUD,4
UnknownLetterExplorerAmongstPossible,ALPHA,4
UnknownLetterExplorerAmongstPossible,ALSOP,3
UnknownLetterExplorerAmongstPossible,ALTAI,3
UnknownLetterExplorerAmongstPossible,ALTAR,3
UnknownLetterExplorerAmongstPossible,ALTER,3
UnknownLetterExplorerAmongstPossible,ALTHO,3
UnknownLetterExplorerAmongstPossible,ALTON,2
UnknownLetterExplorerAmongstPossible,ALTOS,2
UnknownLetterExplorerAmongstPossible,ALUMS,3
UnknownLetterExplorerAmongstPossible,ALVIN,3
UnknownLetterExplorerAmongstPossible,ALYCE,3
UnknownLetterExplorerAmongstPossible,AMADO,4
UnknownLetterExplorerAmongstPossible,AMARU,4
UnknownLetterExplorerAmongstPossible,AMASS,3
UnknownLetterExplorerAmongstPossible,AMATI,4
UnknownLetterExplorerAmongstPossible,AMAZE,4
UnknownLetterExplorerAmongstPossible,AMBER,4
UnknownLetterExplorerAmongstPossible,AMBLE,4
UnknownLetterExplorerAmongstPossible,AMEBA,4
UnknownLetterExplorerAmongstPossible,AMEER,3
UnknownLetterExplorerAmongstPossible,AMEND,3
UnknownLetterExplorerAmongstPossible,AMGEN,4
UnknownLetterExplorerAmongstPossible,AMIGA,3
UnknownLetterExplorerAmongstPossible,AMIGO,3
UnknownLetterExplorerAmongstPossible,AMINO,3
UnknownLetterExplorerAmongstPossible,AMIRS,2
UnknownLetterExplorerAmongstPossible,AMISH,2
UnknownLetterExplorerAmongstPossible,AMISS,3
UnknownLetterExplorerAmongstPossible,AMITY,4
UnknownLetterExplorerAmongstPossible,AMMAN,5
UnknownLetterExplorerAmongstPossible,AMOCO,4
UnknownLetterExplorerAmongstPossible,AMONG,3
UnknownLetterExplorerAmongstPossible,AMOUR,3
UnknownLetterExplorerAmongstPossible,AMPLE,3
UnknownLetterExplorerAmongstPossible,AMPLY,3
UnknownLetterExplorerAmongstPossible,AMPUL,4
UnknownLetterExplorerAmongstPossible,AMUCK,3
UnknownLetterExplorerAmongstPossible,AMUSE,3
UnknownLetterExplorerAmongstPossible,AMWAY,4
UnknownLetterExplorerAmongstPossible,ANDES,2
UnknownLetterExplorerAmongstPossible,ANDRE,3
UnknownLetterExplorerAmongstPossible,ANGEL,3
UnknownLetterExplorerAmongstPossible,ANGER,4
UnknownLetterExplorerAmongstPossible,ANGIE,3
UnknownLetterExplorerAmongstPossible,ANGLE,3
UnknownLetterExplorerAmongstPossible,ANGLO,3
UnknownLetterExplorerAmongstPossible,ANGRY,4
UnknownLetterExplorerAmongstPossible,ANGST,3
UnknownLetterExplorerAmongstPossible,ANGUS,3
UnknownLetterExplorerAmongstPossible,ANIME,4
UnknownLetterExplorerAmongstPossible,ANION,3
UnknownLetterExplorerAmongstPossible,ANISE,3
UnknownLetterExplorerAmongstPossible,ANITA,3
UnknownLetterExplorerAmongstPossible,ANKHS,4
UnknownLetterExplorerAmongstPossible,ANKLE,5
UnknownLetterExplorerAmongstPossible,ANNAM,4
UnknownLetterExplorerAmongstPossible,ANNEX,4
UnknownLetterExplorerAmongstPossible,ANNIE,4
UnknownLetterExplorerAmongstPossible,ANNOY,3
UnknownLetterExplorerAmongstPossible,ANNUL,3
UnknownLetterExplorerAmongstPossible,ANODE,3
UnknownLetterExplorerAmongstPossible,ANONS,3
UnknownLetterExplorerAmongstPossible,ANTED,3
UnknownLetterExplorerAmongstPossible,ANTES,3
UnknownLetterExplorerAmongstPossible,ANTIC,3
UnknownLetterExplorerAmongstPossible,ANTIS,2
UnknownLetterExplorerAmongstPossible,ANTON,4
UnknownLetterExplorerAmongstPossible,ANVIL,3
UnknownLetterExplorerAmongstPossible,ANZAC,3
UnknownLetterExplorerAmongstPossible,AORTA,3
UnknownLetterExplorerAmongstPossible,APACE,4
UnknownLetterExplorerAmongstPossible,APART,4
UnknownLetterExplorerAmongstPossible,APHID,4
UnknownLetterExplorerAmongstPossible,APING,4
UnknownLetterExplorerAmongstPossible,APPAL,4
UnknownLetterExplorerAmongstPossible,APPLE,4
UnknownLetterExplorerAmongstPossible,APPLY,4
UnknownLetterExplorerAmongstPossible,APRIL,3
UnknownLetterExplorerAmongstPossible,APRON,3
UnknownLetterExplorerAmongstPossible,APSES,5
UnknownLetterExplorerAmongstPossible,APTER,4
UnknownLetterExplorerAmongstPossible,APTLY,4
UnknownLetterExplorerAmongstPossible,AQUAE,4
UnknownLetterExplorerAmongstPossible,AQUAS,4
UnknownLetterExplorerAmongstPossible,ARABS,3
UnknownLetterExplorerAmongstPossible,ARABY,2
UnknownLetterExplorerAmongstPossible,ARBOR,3
UnknownLetterExplorerAmongstPossible,ARCED,3
UnknownLetterExplorerAmongstPossible,ARDEN,2
UnknownLetterExplorerAmongstPossible,ARDOR,4
UnknownLetterExplorerAmongstPossible,AREAS,3
UnknownLetterExplorerAmongstPossible,ARENA,3
UnknownLetterExplorerAmongstPossible,ARGON,2
UnknownLetterExplorerAmongstPossible,ARGOS,2
UnknownLetterExplorerAmongstPossible,ARGOT,3
UnknownLetterExplorerAmongstPossible,ARGUE,2
UnknownLetterExplorerAmongstPossible,ARGUS,3
UnknownLetterExplorerAmongstPossible,ARIAS,3
UnknownLetterExplorerAmongstPossible,ARIEL,3
UnknownLetterExplorerAmongstPossible,ARIES,2
UnknownLetterExplorerAmongstPossible,ARISE,2
UnknownLetterExplorerAmongstPossible,ARIUS,2
UnknownLetterExplorerAmongstPossible,ARMED,4
UnknownLetterExplorerAmongstPossible,ARMOR,5
UnknownLetterExplorerAmongstPossible,ARNEB,3
UnknownLetterExplorerAmongstPossible,AROMA,2
UnknownLetterExplorerAmongstPossible,AROSE,1
UnknownLetterExplorerAmongstPossible,ARRAY,3
UnknownLetterExplorerAmongstPossible,ARRON,3
UnknownLetterExplorerAmongstPossible,ARROW,4
UnknownLetterExplorerAmongstPossible,ARSON,3
UnknownLetterExplorerAmongstPossible,ARTIE,3
UnknownLetterExplorerAmongstPossible,ARTSY,2
UnknownLetterExplorerAmongstPossible,ARUBA,3
UnknownLetterExplorerAmongstPossible,ARYAN,3
UnknownLetterExplorerAmongstPossible,ASAMA,3
UnknownLetterExplorerAmongstPossible,ASCOT,3
UnknownLetterExplorerAmongstPossible,ASHED,3
UnknownLetterExplorerAmongstPossible,ASHEN,3
UnknownLetterExplorerAmongstPossible,ASHES,4
UnknownLetterExplorerAmongstPossible,ASIAN,3
UnknownLetterExplorerAmongstPossible,ASIDE,3
UnknownLetterExplorerAmongstPossible,ASKED,4
UnknownLetterExplorerAmongstPossible,ASKEW,3
UnknownLetterExplorerAmongstPossible,ASOKA,3
UnknownLetterExplorerAmongstPossible,ASPEN,4
UnknownLetterExplorerAmongstPossible,ASPIC,3
UnknownLetterExplorerAmongstPossible,ASSAD,4
UnknownLetterExplorerAmongstPossible,ASSAM,4
UnknownLetterExplorerAmongstPossible,ASSAY,5
UnknownLetterExplorerAmongstPossible,ASSES,6
UnknownLetterExplorerAmongstPossible,ASSET,4
UnknownLetterExplorerAmongstPossible,ASTER,3
UnknownLetterExplorerAmongstPossible,ASTIR,3
UnknownLetterExplorerAmongstPossible,ASTON,3
UnknownLetterExplorerAmongstPossible,ASTOR,3
UnknownLetterExplorerAmongstPossible,ASWAN,3
UnknownLetterExplorerAmongstPossible,ATARI,3
UnknownLetterExplorerAmongstPossible,ATLAS,4
UnknownLetterExplorerAmongstPossible,ATMAN,4
UnknownLetterExplorerAmongstPossible,ATOLL,3
UnknownLetterExplorerAmongstPossible,ATOMS,3
UnknownLetterExplorerAmongstPossible,ATONE,4
UnknownLetterExplorerAmongstPossible,ATRIA,4
UnknownLetterExplorerAmongstPossible,ATTAR,4
UnknownLetterExplorerAmongstPossible,ATTIC,4
UnknownLetterExplorerAmongstPossible,AARON,4
UnknownLetterExplorerAmongstPossible,ABACI,4
UnknownLetterExplorerAmongstPossible,ABACK,4
UnknownLetterExplorerAmongstPossible,ABAFT,4
UnknownLetterExplorerAmongstPossible,ABASE,3
UnknownLetterExplorerAmongstPossible,ABASH,3
UnknownLetterExplorerAmongstPossible,ABATE,4
UnknownLetterExplorerAmongstPossible,ABBAS,4
UnknownLetterExplorerAmongstPossible,ABBEY,4
UnknownLetterExplorerAmongstPossible,ABBOT,3
UnknownLetterExplorerAmongstPossible,ABDUL,4
UnknownLetterExplorerAmongstPossible,ABEAM,3
UnknownLetterExplorerAmongstPossible,ABETS,3
UnknownLetterExplorerAmongstPossible,ABHOR,3
UnknownLetterExplorerAmongstPossible,ABIDE,3
UnknownLetterExplorerAmongstPossible,ABLER,3
UnknownLetterExplorerAmongstPossible,ABNER,3
UnknownLetterExplorerAmongstPossible,ABODE,2
UnknownLetterExplorerAmongstPossible,ABORT,3
UnknownLetterExplorerAmongstPossible,ABOUT,3
UnknownLetterExplorerAmongstPossible,ABOVE,3
UnknownLetterExplorerAmongstPossible,ABRAM,3
UnknownLetterExplorerAmongstPossible,ABUJA,4
UnknownLetterExplorerAmongstPossible,ABUSE,2
UnknownLetterExplorerAmongstPossible,ABUTS,3
UnknownLetterExplorerAmongstPossible,ABUZZ,5
UnknownLetterExplorerAmongstPossible,ABYSS,4
UnknownLetterExplorerAmongstPossible,ACCRA,3
UnknownLetterExplorerAmongstPossible,ACHED,3
UnknownLetterExplorerAmongstPossible,ACHES,3
UnknownLetterExplorerAmongstPossible,ACHOO,4
UnknownLetterExplorerAmongstPossible,ACIDS,3
UnknownLetterExplorerAmongstPossible,ACING,3
UnknownLetterExplorerAmongstPossible,ACMES,4
UnknownLetterExplorerAmongstPossible,ACORN,2
UnknownLetterExplorerAmongstPossible,ACRES,2
UnknownLetterExplorerAmongstPossible,ACRID,2
UnknownLetterExplorerAmongstPossible,ACRUX,3
UnknownLetterExplorerAmongstPossible,ACTED,4
UnknownLetterExplorerAmongstPossible,ACTON,3
UnknownLetterExplorerAmongstPossible,ACTOR,4
UnknownLetterExplorerAmongstPossible,ACUFF,4
UnknownLetterExplorerAmongstPossible,ACUTE,3
UnknownLetterExplorerAmongstPossible,ADAGE,3
UnknownLetterExplorerAmongstPossible,ADAMS,4
UnknownLetterExplorerAmongstPossible,ADANA,4
UnknownLetterExplorerAmongstPossible,ADAPT,5
UnknownLetterExplorerAmongstPossible,ADDED,4
UnknownLetterExplorerAmongstPossible,ADDER,5
UnknownLetterExplorerAmongstPossible,ADDIE,3
UnknownLetterExplorerAmongstPossible,ADDLE,4
UnknownLetterExplorerAmongstPossible,ADELA,3
UnknownLetterExplorerAmongstPossible,ADELE,5
UnknownLetterExplorerAmongstPossible,ADEPT,3
UnknownLetterExplorerAmongstPossible,ADIEU,4
UnknownLetterExplorerAmongstPossible,ADLER,4
UnknownLetterExplorerAmongstPossible,ADMAN,3
UnknownLetterExplorerAmongstPossible,ADMEN,3
UnknownLetterExplorerAmongstPossible,ADMIT,3
UnknownLetterExplorerAmongstPossible,ADOBE,3
UnknownLetterExplorerAmongstPossible,ADOLF,3
UnknownLetterExplorerAmongstPossible,ADOPT,4
UnknownLetterExplorerAmongstPossible,ADORE,2
UnknownLetterExplorerAmongstPossible,ADORN,3
UnknownLetterExplorerAmongstPossible,ADULT,4
UnknownLetterExplorerAmongstPossible,ADVIL,3
UnknownLetterExplorerAmongstPossible,ADZES,3
UnknownLetterExplorerAmongstPossible,AEGIS,4
UnknownLetterExplorerAmongstPossible,AEONS,2
UnknownLetterExplorerAmongstPossible,AERIE,3
UnknownLetterExplorerAmongstPossible,AESOP,2
UnknownLetterExplorerAmongstPossible,AFFIX,4
UnknownLetterExplorerAmongstPossible,AFIRE,2
UnknownLetterExplorerAmongstPossible,AFOOT,3
UnknownLetterExplorerAmongstPossible,AFOUL,4
UnknownLetterExplorerAmongstPossible,AFROS,2
UnknownLetterExplorerAmongstPossible,AFTER,3
UnknownLetterExplorerAmongstPossible,AGAIN,3
UnknownLetterExplorerAmongstPossible,AGAPE,3
UnknownLetterExplorerAmongstPossible,AGATE,4
UnknownLetterExplorerAmongstPossible,AGAVE,5
UnknownLetterExplorerAmongstPossible,AGENT,3
UnknownLetterExplorerAmongstPossible,AGGIE,3
UnknownLetterExplorerAmongstPossible,AGILE,2
UnknownLetterExplorerAmongstPossible,AGING,7
UnknownLetterExplorerAmongstPossible,AGISM,3
UnknownLetterExplorerAmongstPossible,AGLOW,3
UnknownLetterExplorerAmongstPossible,AGNES,3
UnknownLetterExplorerAmongstPossible,AGNEW,3
UnknownLetterExplorerAmongstPossible,AGONY,4
UnknownLetterExplorerAmongstPossible,AGREE,3
UnknownLetterExplorerAmongstPossible,AHEAD,4
UnknownLetterExplorerAmongstPossible,AHMAD,4
UnknownLetterExplorerAmongstPossible,AHMED,4
UnknownLetterExplorerAmongstPossible,AIDED,3
UnknownLetterExplorerAmongstPossible,AIDES,3
UnknownLetterExplorerAmongstPossible,AIKEN,3
UnknownLetterExplorerAmongstPossible,AILED,3
UnknownLetterExplorerAmongstPossible,AIMED,4
UnknownLetterExplorerAmongstPossible,AIMEE,4
UnknownLetterExplorerAmongstPossible,AIRED,4
UnknownLetterExplorerAmongstPossible,AIRES,3
UnknownLetterExplorerAmongstPossible,AISHA,3
UnknownLetterExplorerAmongstPossible,AISLE,2
UnknownLetterExplorerAmongstPossible,AKBAR,4
UnknownLetterExplorerAmongstPossible,AKITA,3
UnknownLetterExplorerAmongstPossible,AKIVA,4
UnknownLetterExplorerAmongstPossible,AKKAD,4
UnknownLetterExplorerAmongstPossible,AKRON,2
UnknownLetterExplorerAmongstPossible,ALAMO,3
UnknownLetterExplorerAmongstPossible,ALANA,3
UnknownLetterExplorerAmongstPossible,ALARM,4
UnknownLetterExplorerAmongstPossible,ALBEE,4
UnknownLetterExplorerAmongstPossible,ALBUM,3
UnknownLetterExplorerAmongstPossible,ALCOA,3
UnknownLetterExplorerAmongstPossible,ALDAN,3
UnknownLetterExplorerAmongstPossible,ALDEN,2
UnknownLetterExplorerAmongstPossible,ALDER,3
UnknownLetterExplorerAmongstPossible,ALERT,2
UnknownLetterExplorerAmongstPossible,ALEUT,3
UnknownLetterExplorerAmongstPossible,ALGAE,3
