algorithm,word,n_guesses
UnknownLetterExplorerMindingGuessCount,ALOUD,4
UnknownLetterExplorerMindingGuessCount,ALPHA,4
UnknownLetterExplorerMindingGuessCount,ALSOP,3
UnknownLetterExplorerMindingGuessCount,ALTAI,3
UnknownLetterExplorerMindingGuessCount,ALTAR,3
UnknownLetterExplorerMindingGuessCount,ALTER,3
UnknownLetterExplorerMindingGuessCount,ALTHO,3
UnknownLetterExplorerMindingGuessCount,ALTON,3
UnknownLetterExplorerMindingGuessCount,ALTOS,3
UnknownLetterExplorerMindingGuessCount,ALUMS,3
UnknownLetterExplorerMindingGuessCount,ALVIN,3
UnknownLetterExplorerMindingGuessCount,ALYCE,3
UnknownLetterExplorerMindingGuessCount,AMADO,4
UnknownLetterExplorerMindingGuessCount,AMARU,3
UnknownLetterExplorerMindingGuessCount,AMASS,3
UnknownLetterExplorerMindingGuessCount,AMATI,4
UnknownLetterExplorerMindingGuessCount,AMAZE,4
UnknownLetterExplorerMindingGuessCount,AMBER,3
UnknownLetterExplorerMindingGuessCount,AMBLE,3
UnknownLetterExplorerMindingGuessCount,AMEBA,4
UnknownLetterExplorerMindingGuessCount,AMEER,4
UnknownLetterExplorerMindingGuessCount,AMEND,3
UnknownLetterExplorerMindingGuessCount,AMGEN,4
UnknownLetterExplorerMindingGuessCount,AMIGA,4
UnknownLetterExplorerMindingGuessCount,AMIGO,3
UnknownLetterExplorerMindingGuessCount,AMINO,3
UnknownLetterExplorerMindingGuessCount,AMIRS,3
UnknownLetterExplorerMindingGuessCount,AMISH,3
UnknownLetterExplorerMindingGuessCount,AMISS,3
UnknownLetterExplorerMindingGuessCount,AMITY,4
UnknownLetterExplorerMindingGuessCount,AMMAN,4
UnknownLetterExplorerMindingGuessCount,AMOCO,3
UnknownLetterExplorerMindingGuessCount,AMONG,4
UnknownLetterExplorerMindingGuessCount,AMOUR,3
UnknownLetterExplorerMindingGuessCount,AMPLE,4
UnknownLetterExplorerMindingGuessCount,AMPLY,4
UnknownLetterExplorerMindingGuessCount,AMPUL,4
UnknownLetterExplorerMindingGuessCount,AMUCK,4
UnknownLetterExplorerMindingGuessCount,AMUSE,3
UnknownLetterExplorerMindingGuessCount,AMWAY,4
UnknownLetterExplorerMindingGuessCount,ANDES,3
UnknownLetterExplorerMindingGuessCount,ANDRE,3
UnknownLetterExplorerMindingGuessCount,ANGEL,3
UnknownLetterExplorerMindingGuessCount,ANGER,3
UnknownLetterExplorerMindingGuessCount,ANGIE,3
UnknownLetterExplorerMindingGuessCount,ANGLE,3
UnknownLetterExplorerMindingGuessCount,ANGLO,3
UnknownLetterExplorerMindingGuessCount,ANGRY,4
UnknownLetterExplorerMindingGuessCount,ANGST,3
UnknownLetterExplorerMindingGuessCount,ANGUS,3
UnknownLetterExplorerMindingGuessCount,ANIME,3
UnknownLetterExplorerMindingGuessCount,ANION,3
UnknownLetterExplorerMindingGuessCount,ANISE,3
UnknownLetterExplorerMindingGuessCount,ANITA,3
UnknownLetterExplorerMindingGuessCount,ANKHS,3
UnknownLetterExplorerMindingGuessCount,ANKLE,3
UnknownLetterExplorerMindingGuessCount,ANNAM,4
UnknownLetterExplorerMindingGuessCount,ANNEX,4
UnknownLetterExplorerMindingGuessCount,ANNIE,3
UnknownLetterExplorerMindingGuessCount,ANNOY,3
UnknownLetterExplorerMindingGuessCount,ANNUL,3
UnknownLetterExplorerMindingGuessCount,ANODE,3
UnknownLetterExplorerMindingGuessCount,ANONS,4
UnknownLetterExplorerMindingGuessCount,ANTED,3
UnknownLetterExplorerMindingGuessCount,ANTES,4
UnknownLetterExplorerMindingGuessCount,ANTIC,3
UnknownLetterExplorerMindingGuessCount,ANTIS,3
UnknownLetterExplorerMindingGuessCount,ANTON,4
UnknownLetterExplorerMindingGuessCount,ANVIL,3
UnknownLetterExplorerMindingGuessCount,ANZAC,3
UnknownLetterExplorerMindingGuessCount,AORTA,4
UnknownLetterExplorerMindingGuessCount,APACE,4
UnknownLetterExplorerMindingGuessCount,APART,3
UnknownLetterExplorerMindingGuessCount,APHID,3
UnknownLetterExplorerMindingGuessCount,APING,5
UnknownLetterExplorerMindingGuessCount,APPAL,3
UnknownLetterExplorerMindingGuessCount,APPLE,4
UnknownLetterExplorerMindingGuessCount,APPLY,4
UnknownLetterExplorerMindingGuessCount,APRIL,3
